Description,Search name,Item Segment,Total available,Financial cost amount,Inventory Part
C.D.V.R,314-7755,Power/Remove,4,741740.57,Other
C.T,122-6589,Power,11,110510.61,Other
CAM,24300-19790,Machines,4,4166.76,Other
CAM SHAFT OIL SEAL,SI5801605633,Machines,4,1164,Oil Seal
CAP,3324175,Power,3,5307.96,Other
CAP SCREW Throttle G3412,4B3388,,1,139.44,Other
CAPSCREW,1B-7182,Machines,4,365.4,Other
CARTRIDGE GP 255-5477,CARTRIDGEGP-255-5477,Power,1,274357.63,Other
CASE DRAIN,2237809,Machines,8,155531,Other
CASE DRAIN FILTER,9T8578,Machine/Remove,12,102778.98,filter
CG ADAPTER COIL SOLENIDE,CG ADAPTER COIL SOLE,Power,1,1,Coil
"CG BAREL NIPPLE 01""","CG BAREL NIPPLE 01""",Machines,2,2,Other
CG BIG BOLT,CG BIG BOLT,Power,32,32,bolt
CG BIG WASHER PLAIN,CG BIG WASHER PLAIN,Power,32,32,washer
CG BOLT,CG BOLT,Machines,8,8,bolt
CG BOLT EXGEN,CG BOLT EXGEN,Machines,4,4,bolt
CG DEAD PLATE,CG DEAD PLATE,Power,1,1,Other
"CG ELBOW 01""","CG ELBOW 01""",Power,1,1,Other
CG SOLENIDE,CG SOLENIDE,Machines,2,2,Other
CG SOLENIDE VALVE,CG SOLENIDE VALVE,Power,2,2,Valve
CHIZEL B20 TYPE : MINUS,3689987,Machines,1,154382.9,Other
CHNT NXA-32 ACB 3 Pole Adj 1280-3200 AMP,CHNT NXA-32,Power,2,694000,Other
CIRCLE BOLT,B040912455,Machines,20,8110.32,bolt
CIRCLE WASHER 24,B060462404,Machines,6,731.58,washer
CIRCUIT BREAKER,203-8987,Power,2,32383.01,Other
CLAMP,5L-9316,Machines,2,8818.12,clamp
CLUTCH MASTER CYL,W084300000,Logistics,2,14125.17,Other
CLY Head inst Kit ZAR,5997288,Power,15,1110254.27,Other
CM HOUSE BULK,371-8946,Remove,3,336.84,Other
CM-HOSE STK,5P-1472,Machines,590,23487.1,hose
COLLAR 3412,4P2026,Power,2,1755.41,Other
COMAP- (Imported Synch Panel),IGNTLocal,,2,421176,Other
COMAP- (Local Synch Panel),IGNTImported,Power,9,1450292.15,Other
COMBINATION INSTRUMENT,SNDZ96189584120,Machines,2,40572,Other
COMBINATION SWITCH,SN81255090124,Machines,2,6650,Other
COMBINATION SWITCH(QUALIT,SI5801918622,Machines,2,5002,Other
COME ON AIR FILTER,W155500000,Machines,5,39803.05,air filter
COMMISSIONING KIT,57645208,Machines,1,1,Other
COMPRESSER AND COOLER PIP,SI5801585320,Machines,1,1056,Other
COMPRESSOR,W48000042,Machines,3,5412.09,compressor
COMPRESSOR,SNDZ95189154010,Machines,2,29412,compressor
CONDENSER,SNDZ15221845033,Machines,1,12114,Other
CONE,6Y-7651,Machine/Remove,2,4860.29,Other
CONE SPL TAPERED,123-8905,Machines,1,6948.23,Other
CONNECTING ROD BEARING,W010251480,Machines,6,2340,bearing
CONNECTING ROD BEARING,W010251470,Machines,84,65432.22,bearing
CONNECTION,10000-60149,Power,1,2353.16,Other
CONNECTION PIPE,SNDZ96259540009,Machines,2,12714,Other
CONNECTION PIPE,SNDZ95259540018,Machines,2,12714,Other
CONTROL GP PL1000,2567512,Power,1,3,Other
CONTROLLER A,441-6515,Machines,1,162156.22,Other
COOLANT,217-0618,Logistics/Machine/Remove,532,987992.77,Other
COOLANT-DEAC,362-2180,Power,7,27456.12,Other
COOLER TO CABIN PIPES (H3,SI5801318691,Machines,1,1374,Other
COURTESY LAMP,SI5802024942,Machines,2,1866,Other
COVER FROUNT (GEP33),2323657,Power,3,62719.15,Other
COVER GP-CYL,5218085,Machines,1,10916.74,Other
CP WATER SEP,FS36277,Machines,3,52551.52,Other
CT ( DE200EO ),3499599,Power,2,81872,Other
CT 100/5A,10000-45309,Power,1,7536.81,Other
CT 60/5 ( FG35),1000045308,Power,2,20525.04,Other
CT 800/5 C15,3619095,Power,3,95413.56,Other
CT800/5A Transformer,2125883,Power,3,29674.38,Other
CUSHION,9512706200,MHE,22,308230.56,Other
CUTTING RING,9834,Power,18,18,Other
CYLINDER CAP,W041401321,Machines,1,1355.47,Other
CYLINDER HEAD COVER,W010250610,Logistics/Machine,12,815.2,Other
CYLINDER HEAD SPACER,537-0724,Machines,1,7214.91,Other
CYLINDER LINER,12453386,Power,1,82812.69,Other
CZF11A-E Relay Socket,CZF11AE,power,29,4002,relay
Cable As,370-4617,,1,18369.68,Other
Cable Jumper,2V7397,power,2,6,Other
Cable Lugs (Al)185mm,Cable Lugs (Al)185mm,Power,200,35000,Other
Cable Lugs (Al)300mm,CableLugs(Al)300mm,Power,164,90200,Other
Cable Lugs (Copper + Aluminium) 185mm,CabLugs(CuAl)185mm,Power,380,421800,Other
Cable Lugs (Copper + Aluminium) 300mm,CabLugs(CuAl)300mm,Power,500,687500,Other
Cable Lugs 185mm,CableLugs185mm,Power,300,122400,Other
Cable Lugs 300mm,CableLugs300mm,Power,464,359692.8,Other
Cable Ti SEM (W110022362),536-4281,Machines,2,15429.17,Other
"Cable Tie 12""","CABLE TIE 12""",Remove,33,23099.3,Other
"Cable Tie 18""","CABLE TIE 18""",,20,21989.6,Other
"Cable Tie 6""","CABLE TIE 6""",Remove,41,10524.3,Other
"Cable Tie 8""","CABLE TIE 8""",Remove,3,216,Other
"Cable Ties 18""","CABLE TIES 18""",,4,3604,Other
Canopy Door Hinges,CanopyDoorHinges,power,26,18200,Other
Canopy Door Letch,CanopyDoorLetch,power,34,7820,Other
Canopy Door Lock,CanopyDoorLock,power,30,225000,Other
Canopy Galvanised 4*8 Square Sheet,Canopy Galvanised4*8,Power,18,127957.06,Other
Canopy MS Sheet 4*8 weight 34kgs (16 guage),Canopy MS Sheet 4*8,power,15,13948.17,Other
Canopy MS Sheet 4*8 weight 38kgs (16 guage),CanopyMsSheet38kg,Power,18,209073.15,Other
Canopy MS Sheet 4*8 weight 58kgs (12 guage),Canopy MS Sheet 4*8,power,16,298452,Other
Canopy MS Sheet 4*8 weight 95kg (4mm),Canopy MS Sheet 4*8,Power,470,281252.92,Other
Canopy Perforted sheet M.S 4*8 (26 gauge),Canopy Perforted she,Power,52,330755.46,Other
Cap Crank Shaft,232-7607,Power,2,2,Other
Cap Screw,0T-0055,Machines,4,741.44,Other
Card (fuse box) of crane,60170605,Machines,1,96926.7,Other
Carrier,175-3131,Machines,2,184573.27,Other
Cartridge GP 198-6049,Turbo-GP-198-6049,Power,1,478117.79,Other
Cartridge gp D3512B,Turbo GP-185-5861,Power,1,1163184.4,Other
Cat Ball Bearing Grease,454-0291,Logistics/Power/Remove,59,72005.61,bearing
Cat Tdto-30,9X-6466,Machine/Remove,765,880029.55,Other
Cat Tdto-50,3E-9478,Machines,4212,5622722.59,Other
Circuit Breaker 10 Amps 3 Pole 6KA,CHNTNXB63C10,Power,18,5940,Other
Circuit Breaker 100 Amps 3 Pole 25KA,CHNTNXM125S3300,Power,5,18700,Other
Circuit Breaker 16 Amps 3 Pole 6KA,CHNTNXB63C16,Power,22,22396,Other
Circuit Breaker 160 Amps 3 Pole 25KA,CHNTNXM160S3300,Power,3,6325,Other
Circuit Breaker 20 Amps 3 Pole 6KA,CHNTNXB63C20,Power,26,26468,Other
Circuit Breaker 250 Amps 3 Pole 35KA,CHNTNXM250S3300,Power,6,41250,Other
Circuit Breaker 32 Amps 3 Pole 6KA,CHNTNXB63C32,Power,18,18324,Other
Circuit Breaker 6 Amps 3 Pole 6KA,CHNT NXB-63 - C6,Power,18,5940,Other
Circuit Breaker 63 Amps 3 Pole 6KA,CHNTNXB63C63,Power,9,8624,Other
Circuit Breaker 85 Amps 3 Pole 10KA,CHNTNXB125,Power,8,14700,Other
Clamp,A810301010927,Machines,2,9281.9,clamp
Clamp,4W-3034,,1,3,clamp
Clamp,200-6556,Machine/Remove,9,128500.35,clamp
Clamp,1L-2731,,2,6,clamp
Clamp,11936886,Machines,2,8744.66,clamp
Clamp,12787533,Machines,2,14280.77,clamp
Clamp,6L-3005,Machines,4,26618.72,clamp
Clamp,5P-4868,Machines,8,6329.68,clamp
Clampbody,12068400,Machines,2,24108.84,Other
Clip,1438789,Power,2,6,Other
Clip,232-3126,Power,4,421.76,Other
Clump Ass,9N-2038,Power,1,1,Other
Clutch Booster,60199875,,1,9273.62,Other
Coil As.,321-5658,Power,4,13207.6,Coil
Coil STC500,60256011,Machines,1,4559.67,Coil
"Coil, Solenoid",60118389,Machines,3,2969.4,Coil
"Coil, Valve Assemble, Solenoid",B229900000711,Power/Remove,8,100361.34,Valve
Coke spring ring,12453580,Power,1,32951.25,Other
Combination bus,60026119,Machines,1,143820,Other
Communication adapter,3177485,Power,1,124470.09,Other
Compactor Air Filter (Local),CA-513,Machines,1,17277.48,air filter
Compactor Coolant Water Filter (Local),CC-514,Machines,3,14450.26,filter
Compactor Fuel Filter (Local),CF-511A,Machines,1,2984.29,fuel filter
Compactor Fuel Filter (Local),CF-511B,Machines,1,1727.74,fuel filter
Compactor Water Seprator (Local),CW-512,Machines,3,18219.89,Other
Complete Gas Street,Complete Gas Street,Power,1,150000,Other
Compound Elbow,13741308C,Machines,2,72198.53,Other
Condensor Fan 656D,5220801,Machines,1,35039.25,fan
Cone A,0300061,Machines,1,8842.15,Other
Cone RLR BRG,8T-1581,Machines,1,7828.44,Other
Connecting Cable,7X-1414,Power,1,24634.92,Other
Connecting Rod Bridge,107-7330,Machine/Remove,8,137238.54,Other
Connector,2286559,Power,1,3,Other
Connector,8T-8731,Power,16,38431.68,Other
Connector,230-4011,Power,3,2741.68,Other
Connector,8T6453,,1,3,Other
Connector,3428379,Power,2,15623.06,Other
Connector Hose,1S0178,Power,3,9,hose
Contraflex 18L/1.5-3 bar,Contraflex 18L/1.5-3,Power,3,142800,Other
Control Gp 256-7511,Control Gp,,1,1090284.78,Other
Control SEM (W100000260A),538-6438,MHE,1,32795.52,Other
Coolant,205-6613,Machine/Remove,8,11084.85,Other
Coolant (Local),Coolant (Local),Machines,1403,387992.63,Other
Coolant Test Kit,4C-9301,Power/Remove,7,145062.81,Other
Coolant Water,3P-2044,Machine/Power/Remove,407,996209.71,Other
Cooler Cartridge,B222100000345,Machines,7,23867.29,Other
Cooling Package Hose Outlet,Z3B00900100,MHE,1,520.1,hose
Core oil cooler G3520C,oil cooler 191-9336,Power,1,1463459.04,Oil Cooler
Coupling,Coupling 249-0059,,2,2292038.56,Other
Cover,126-0892,,1,198989.38,Other
Cover,8N-6423,Power,1,7960.6,Other
Cover (W44000184),567-5333,Machines,87,21955.14,Other
Cover end,3018315,power,1,3,Other
"Cover, Assembly 256485 AA O-Ring",17084636,Machines,1,1552.32,o-ring
Crane Oil Filter-21004992,Oil Filter-21004992,Machines,350,2204174.7,Oil Filter
Crank Shaft Position  Sensor-0281002315-SANY,CrankShaftPositionSe,Machines,1,8200,sensor
Crown As Piston D3516,1720919,Power,1,158087.78,Other
Cup,0300060,Machines,1,5648.83,Other
Cup Bearing,7D-8637,Power,1,5198.49,bearing
Cup RLR BRG,8T-1580,Machines,1,5713.8,Other
Current Transformer 1500/5A,122-6587,Power,3,37563.12,Other
Cutting Edge,MG19003023,,1,35982.8,Other
Cylinder Head,CylinderHead,Power,32,1589200,Other
Cylinder Head72006561,W041401261,Machines,1,1149.88,Other
D.E.O(208 Liters),3E-9840,Logistics/Machine/Power/Remove,1446,1333683.85,Other
D8T Rely,1183534,Machines,1,18209.1,Other
DEAC/NGEC,3622181,Power,210,197885.22,Other
DESERT AIR FILTER,W016300010,Machines,27,270658.24,air filter
DESIGNATION PLATE,9556,Remove,2,2,Other
DESIGNATION PLATE,9555,Remove,2,2,Other
DIAPHRAGM,4P-3687,Machines,3,18662.71,diaphragm
DIAPHRAGM,4P-3686,Machine/Remove,3,13853.36,diaphragm
DIAPHRAGM,7W-4286,Machines,6,16098.76,diaphragm
DIAPHRAGM BRAKE CHAMBER,SNDZ95189363001,Machines,14,69678,diaphragm
DIFFERENTIAL BEARING ADJU,SI5801275804,Machines,2,950,bearing
DIFFERENTIAL LOCK SWITCH,SI5801309420,Machines,1,433,Other
DIFFERENTIAL VALVE3506-60,SI5801343629,Machines,1,1830,Other
DIODE AS,502-7391,Power,2,244191.36,Other
DIODE AS,502-7380,Power,15,1411290.45,Other
DIRECTION SIDE LIGHT LEFT,SI5801278393,Machines,4,7980,Other
DOOR GLASS ASSY(LEFT),SNDZ15221330059,Machines,4,8424,Other
DOOR WINDOW GLASS,SI8142391,Machines,1,1366,Other
DOOR WINDOW GLASS,SI8142392,Machines,1,1366,Other
DOWEL,1215-1212,Machines,4,4,Other
DRIVING SHAFT,519-7583,Machines,2,550.88,Other
DUAL CIRCUIT FUSE VALVE,W44000007,Machines,1,7849.14,Valve
Dash panel,W46000006,Machines,1,116958,Other
Dead plug,6e4502,Power,1,1788.9,Other
Delmax Lube Gx 80W90 (Gl-4),DELMAX LUBE 80W90 (2,Logistics/Machine,3825,2001721.14,Other
Delvac MX 15W40 CI-4  (208L),MAL15W40DieselEng,Machine/Power,3097,1014252.29,Other
Delvac Super 20W50 (208L),Delvac Super 20w50 (,Logistics/Machine,156,75872.96,Other
Detonation Harness,360-9144,Remove,1,305990.16,Other
Detonation Sensor,163-4411,Power/Remove,5,42542.48,sensor
Detonation Sensor163-4411),5748678,Machines,3,234840.92,Other
Detonation Sensors,1420215,Power,7,204954.13,Other
Diapharagm,113-1572,Machine/Remove,3,83273.57,diaphragm
Diapharam Ass,91H2004380,Machine/Remove,3,56320.1,Other
Diesel Fine Filter Core,B222100000424,Machines,18,46732.44,filter
Diesel Fuel Cleaner,B222100000751,Machine/Remove,52,375062.74,Other
Diesel-Attock,Diesel-Attock,Logistics,650,184372.5,Other
Diesel-Shell,Diesel-Shell,Logistics,5000,1385700,Other
Diod Ass,123-3460,Power/Remove,1,18936.38,Other
Diod Ass,123-3461,Power/Remove,1,21751.02,Other
Diod Assembly,241-4619,Power/Remove,7,397834.95,Other
Diod Assembly +,9Y-7175,Power,1,54407.48,Other
Diod Assembly -,9Y-7174,Power,1,54407.48,Other
Diode As,922-230,Power/Remove,2,254623.73,Other
Diode C15,2414606,Power,4,56020.4,Other
Direction sensor Dozer,2661475,Machines,1,54176.56,sensor
Disc Friction,122-1880,Machines,12,80164.08,Other
Donaldson B. Oil Filter,DL777,Power,20,67000,Oil Filter
Dowel,3E3217,Machines,2,4503.4,Other
Dozer Seal Jack,3N0759,Machines,1,9313.35,Other
Drive,6N-3826,Machines,7,77523.95,Other
Drive Shaft 1 for STC500,60093313,Machines,1,16210.71,Other
Drive Shaft 2 for STC500,60103082,Machines,1,14908.32,Other
Driven Disc,Z320470600,MHE,30,18333,Other
Driven Disc,Z320470680,MHE,36,46153.8,Other
Dual Circuit Brake Valve,W44000023,Machines,2,27683.24,Valve
Duel-Seal,W041200040,Machines,56,8854.09,Other
Dump Body Lever/Hand brake valve,SN000000002M,Machines,1,6588,Valve
Duplix Fuel Fine Filter O-Ring,17667606,Machines,2,27470,fuel filter
Dust Boot,MG19026048,Machines,8,6208.64,Other
Dust seal,Z331010130,Machines,4,1760.88,Other
EG100Pump (114m3/hr),EG100Pump(114m3hr),Power,1,285000,Other
ELBOW,4402907,Power,2,61155.46,Other
ELBOW,8N8550,Power,1,29971.5,Other
ELBOW,11204463C,Machines,1,41698.62,Other
ELECTROMAGNETIC MASTER SWI,A241200000584,Machines,2,9121.08,Other
ELECTRONIC ODOMETER SENSO,SI5801797142,Machines,1,2190,Other
ELECTRONIC THROTTLE PEDAL,A229900008853,,2,48398.1,Other
ELEMENT,5206407,Machines,1,8571.59,Other
ELEMENT,146-7473,Machines,15,96155.07,Other
ELEMENT,ELEMENT 093-7521,Machine/Remove,63,714774.56,Other
ELEMENT,W010514200,Logistics/Machine,4,34839.33,Other
ELEMENT (W014201350),527-1995,Machines,31,162485.72,Other
ELEMENT (W014201350),527-1995 (Local),Machines,3,18997.66,Other
ELEMENT AIR,10000-65574,Logistics/Power,22,78883.31,Other
ELEMENT AS,322-3155,Machine/Remove,31,203852.29,Other
ELEMENT PRIM (246-5011),551-6182,Machines,24,206943.15,Other
ELEMENT-FILTER 527-2010 (W010251001),527-2010,MHE,11,47199.24,filter
ELEMENT-FUEL 513-4493,ELEMENT-FUEL 5134493,Logistics/Power/Remove,75,389695.03,Other
ELEMENT-SEP,479-4131,Machines,10,47116.6,Other
EMCP 4.2,5925153,Power,1,150000,Other
EMCP 4.2 PANNEL,4509596,Power,1,114868.74,Other
EMERGENCY SWITCH mg,W370000490B,Machines,2,2599.56,Other
END CAP,MG19026017,Machines,4,3887.52,Other
ENGINE EXHAUST BRAKE ASSY,SNDZ91189180002,Machines,2,13864,brake
EP85W90-GL-04,EP85W90GL04,Logistics,625,186376.87,Other
EXHAUST BRAKE CONTROLLER3,SI5801694640,Machines,2,1986,brake
EXHAUST FLANGE,1240-9206,Power,1,1,Other
EXTERNAL MIRROR,SNDZ13241770930,Machines,3,5391,Other
Effer Hydraulic Pump Liner Filter (0214),EHF-SH-4096,Machines,4,50000,filter
Effer Hydraulic Tank Filter (8919396),EHF-SH-4095,Logistics,4,24000,filter
Elbow,203-7072,Power,1,137211.06,Other
Elbow Jacket Water,1531882,Power,1,8727.6,Other
Electronic buzzer,21015265,Machines,1,4774.5,Other
Electronic throttle 02,A229900008854,Machines,2,36742.12,Other
Electronic throttle pedal,60053511,Machines,1,16080,Other
Electronics Ignation Module 12 V,258-9753,Power,3,17304.73,module
"Element , Primary, Air Cleaner",A222100000411,Machine/Remove,4,25423.74,Other
Element As,6I-2509,Logistics/Machine/Remove,5,99382.59,Other
Element Fuel,901-214,Logistics/Power/Remove,1,3278.17,Other
Element Heat,191-5085,Machines,1,228274.18,Other
"Element, Safety, Air Cleaner",A222100000412,Machine/Remove,2,1744.85,Other
Emergency flight switch,5384868,Machines,4,4496.16,Other
End Wire,244-0452,Machines,60,7476,Other
Engine Block,EngineBLock,Power,2,624256.67,Other
Engine Control Switch,3N-5979,Power,4,230394.19,Other
Engine Coolant (NGEC),3622182,Remove,420,177474.4,Other
Engine Fan,A229900009213,Machines,1,17671.44,fan
Engine OIL PRESSURE SENSOR,SNBY612600090919,Machines,5,14460,sensor
Engine Oil Filter,32A4000400,Logistics/Machine/Remove,361,234814.95,Oil Filter
Engine Oil Filter Core,60080336,Machine/Remove,2,18576.79,Oil Filter
Equanthinged Elbow,13799028C,Machines,1,74148.82,Other
Exhaust Gaskit,7W-8145,Machines,24,6750.47,Gasket
Exhaust Manifold Bolt,437-7470,Power/Remove,15,88416.26,bolt
Exhaust Manifold Gaskit,320-8974,Power,4,15809.99,Gasket
Exhust Seat (W010517654),523-1612,Machines,30,23664,Other
Exhust Valve (W010517664),523-1618,Machines,42,108108,Valve
Extension,308-1380,Machines,8,28592,Other
FAN,SNBY612600060445,Machines,1,6126,fan
FAN,142-1931,Power,1,261379.8,fan
FAN BELT,10000-66575,Machines,4,5713.78,belt
FAN BELT (981-209),20000-12379,Power,8,60070.12,belt
FAN COOLING,9042503340,MHE,3,144353.88,fan
FET MODULE,70000-56760,Machines,1,228643.67,module
FET MODULE (HYD & TRV),70000-86750,Machines,1,180305.99,module
FILL BREATHER,W45000006,Machines,30,413484.77,Other
FILTER,520-3011,Machines,21,88848.11,fuel filter
FILTER AS,5I-8670,Machine/Remove,70,683221.51,filter
FILTER AS,438-5386,Machine/Remove,24,329611.74,filter
FILTER AS FUEL,276-1804,Power,5,32734.2,fuel filter
FILTER ASSEMBLY (Z510210890 ),523-8449,Machines,21,136544.6,filter
FILTER CORE,B222100000451,Machine/Remove,70,610895.57,filter
FILTER ELEM STL (527-1999),608-6005,Machines,12,355983.12,filter
FILTER ELEME,435-6493,Power/Remove,26,262302.24,filter
FILTER ELEMENT (W47119146),537-1410,Machines,42,363010.41,filter
FILTER G (W155400000),533-8050,Machines,7,146574.12,filter
FILTER RETURN HYDRAULIC,60222774,Machines,1,13323.18,filter
FILTER SEP,513-4490,Logistics/Power/Remove,74,1158892.96,filter
FINE FILTER,60286350,Machine/Remove,1,7438.81,filter
FLANGE,0113-8482,Machines,3,3,Other
FLANGE,0113-8483,Machines,2,2,Other
FLEX HOSE,1230-6599,Machines,1,1,hose
FLEX HOSE,1230-6603,Machines,1,1,hose
FLEX SEPRATION SYSTEM,5159,Machines,6,6,Other
FRONT OIL SEAL,SNBY61500010037,Machines,6,3960,Oil Seal
FRONT WHEEL BOLT,SN81455010102,Machines,40,11400,bolt
FS536247,FS536247,Power,2,7600,Other
FUEL FILTER,W068400010,Machines,27,1193906.38,fuel filter
FUEL FILTER,467-1179,Machines,26,496011.99,fuel filter
FUEL FILTER,60208879,Machines,10,79714.85,fuel filter
FUEL FILTER,60208878,Machines,51,119898.12,fuel filter
FUEL FILTER,10000-65695,Machine/Remove,2,64265.04,fuel filter
FUEL FILTER,1000078989,Machines,10,20293.14,fuel filter
FUEL FILTER,W47119291,Machines,14,30813.79,fuel filter
FUEL FILTER,159-6102,Power,26,325324.71,fuel filter
FUEL FILTER,299-8229,Logistics/Machine,18,62216.91,fuel filter
FUEL FILTER,10000-65571,Machine/Remove,5,8159.57,fuel filter
FUEL FILTER ELEMENT,1000086239,Machines,2,25404.16,fuel filter
FUEL FILTER HOSING,982764,Machines,1,4749.04,fuel filter
FUEL FILTER HOUSING,1000048378,Machines,2,46593.28,fuel filter
FUEL FILTER PETROL,91H2002350 (Local),Machines,5,5446.27,fuel filter
FUEL FILTER S4S,32A6201020C (Local),MHE,226,289082.33,fuel filter
FUEL GUAGE,623678,Power,2,24817.62,Other
FUEL INJECTION PUMP-537-0732,FUEL-PUMP-537-0732,,1,3900,pump
FUEL INJECTOR,W010251610,Machines,21,247989,injector
FUEL PIPE,258538-011,Machines,1,160469,Other
FUEL PIPE,258538-002,Machines,1,266094,Other
FUEL SWITCH,SI5802130071,Machines,1,988,Other
FUEL TANK CAP,SI5801887927,Machines,2,3312,Other
FUEL TANK LOCK,SNSZ955000861,Machines,2,1848,Other
FUEL-FILTER-W010251001,FUEL-F-W010251001,,2,4410,fuel filter
FUSE 10A,W110006920,Machines,20,1760,Other
FUSE 10A,W370200080A,Machines,5,162.5,Other
FUSE 20,W370200100A,Machines,2,65,Other
FUSE 20A,W110006940,Machines,20,1950,Other
FUSE 5,W370200070A,Machines,1,32.5,Other
FUSW 15,W370200090A,Machines,2,65,Other
Fan,127-230,Power,1,18708.12,fan
Fan,127-222,Power,1,10623.34,fan
Fan Balt Geh220-2,2000012385,Power,2,24560.1,fan
Fan Belt,10000-05585,Machine/Remove,1,6908.08,belt
Fan Belt,909-022,Power,4,10712.34,belt
Fan Belt,30002203,Power,48,443472,belt
Fan Belt,9L-0895,Power,2,19058.46,belt
Fan Belt,10000-71317,Power,3,10395,belt
Fan Belt,10000-00672,Machines,5,9472.92,belt
Fan Belt,981-211,Power/Remove,3,12536.35,belt
Fan Belt,244-1246,Power,1,150435.5,belt
Fan Belt,7L-7020,Power,1,1,belt
Fan Belt,254-3861,Power,2,188610.24,belt
Fan Belt,909-053,Power/Remove,4,11905.74,belt
Fan Belt,981-209,Power/Remove,5,33027.19,belt
Fan Belt,6N-6656,Power,10,199809.38,belt
Fan Belt ( C-32 ),6N0388,Power,1,44536.82,belt
Fan Belt F72,1000065928,Power,2,3520.02,belt
Fan Belt Set,298-5544,Power,1,202562.1,belt
Fan Belt-3003343,Fan Belt-3003343,Power,80,1958720,belt
Fan Spider,217-6022,Power,1,83392.68,fan
Fan belt,6N6654,Power,2,27573.84,belt
Fan belt ( HEX ),2985873,Machines,4,58440.97,belt
Fan belt 656D,5651157,Machines,1,7119.38,belt
Fan belt of dozer,2198689,Machines,2,19218.56,belt
Feeler Guage,1U-7234,,1,4908.12,Other
Filam Control,130-9716,Power,1,1,Other
Filing Filter Breather,W110001460,Machines,27,125042.76,filter
Filter,136-3742,Machine/Remove,5,575.7,fuel filter
Filter,6L-4714,Machines,2,32380.26,fuel filter
Filter,A222100000213,Machines,1,1976,fuel filter
Filter,8N-2556,Power/Remove,6,30356.11,fuel filter
Filter (W110001460),522-8465,Machines,58,286867.02,filter
Filter (W110015510A),518-5260,Machines,29,55794.06,filter
Filter 0330D010Bn3Hc,B222100000116,Machine/Remove,6,35920.91,filter
Filter A Lub,275-2604,Power/Remove,37,609037.18,filter
Filter A Lub,1R-1807,Machines,18,51438.19,filter
Filter AC 320 d2gc,2931184,Machines,1,6531.71,filter
Filter As-Fu,441-5111,Machine/Remove,27,50922.71,filter
Filter Candle Element,17667016,Power,2,184730,filter
Filter Cap,142-8937,Machines,1,2029.47,filter
Filter Head,10000-00099,Machines,1,5794.86,filter
Filter Ppc Valve,W110015510A,Machines,28,20256.03,filter
Filter Return,70000-02070-0,Machines,12,151758.07,filter
Filter trans,W43001180,Machines,10,92937.15,filter
Fitting,4H-0553,Machine/Remove,1,829.58,Other
Fitting,2D-4867,Machine/Remove,3,1154.51,Other
Fitting grease real,1908609,Machines,3,3250.94,Other
Flam Covent 125F (Local),FlamCovent125F,Power,1,170000,Other
Flamqut Valve,W014201220,Machines,3,23845.77,Valve
Flang STC500,11476709,Machines,1,13159.62,Other
Flange,102-1733,Power,2,40543.86,Other
Flat Gasket,252267010,Power,9,3766.14,Gasket
Flat Washer,1108314,Power,35,13033.3,washer
Fleet Guard Air Filter,AF25378,Power,2,37600,air filter
Fleet Guard Fuel Filter,FS10061216,Power,103,683269.41,fuel filter
Fleet Guard Fuel Filter,FS1000,Power,84,327299.08,fuel filter
Fleet Guard Oil Filter,LF3325,Power,300,1246784.42,Oil Filter
Fleet Guard Oil Filter,LF670,Power,90,269104.89,Oil Filter
Fleet Guard Water Filter,WF2075,Power,124,453448.47,filter
Flexcon 200L/1-6 bar,Flexcon200L16bar,Power,3,145860,Other
Flexible Pipe PVC 3 inch (FT),"FlexiblePipe3""",Power,95,4845,Other
Fly Wheel,2584884,Power,1,207699,Other
Front Drive Shaft,mg19013003,Machines,2,41527.14,Other
Front Oil Seal,10000-13299,Machines,1,1,Oil Seal
Front Seal,W010250330,MHE,5,6658.75,Other
Front Seal,113-8432,Power/Remove,1,92346.24,Other
Front light MG,W370001220B,Machines,6,7271.46,Other
Front pin of stearing cylinder,Z510020861,Machines,4,2904.07,Other
Frount Housing D3516,4639470,Power,1,201295.04,housing
Fuel Filter,1R-0755,Logistics/Power/Remove,25,406939.8,fuel filter
Fuel Filter,3446200300,Machines,1,2134.98,fuel filter
Fuel Filter,4671181,Logistics/Power/Remove,28,168162.82,fuel filter
Fuel Filter,5271994,Machines,30,93316.65,fuel filter
Fuel Filter,10000-59647,Logistics/Power,41,175356.2,fuel filter
Fuel Filter,Fuel-F-10000-59651,Machines,12,28000,fuel filter
Fuel Filter,934-181,Machines,2,3499.11,fuel filter
Fuel Filter,91H2002350,Machine/Remove,6,5269.29,fuel filter
Fuel Filter,1R-0750,Machine/Power,13,23093.22,fuel filter
Fuel Filter,Fuel-Filter-360-8960,Machines,36,163636.36,fuel filter
Fuel Filter,1R-0762,Machines,45,247777.76,fuel filter
Fuel Filter,Fuel-Filter-13020488,Machines,2,5600,fuel filter
Fuel Filter,10000-65562,Logistics/Machine/Remove,6,7757.75,fuel filter
Fuel Filter,901-202,Machines,1,1,fuel filter
Fuel Filter,CX0708,Power,7,2164.16,fuel filter
Fuel Filter,WK8422,Remove,2,1044.44,fuel filter
Fuel Filter,CMT-F-1302,Machines,9,24502.63,fuel filter
Fuel Filter,10000-12854,Machines,4,10240.59,fuel filter
Fuel Filter,10000-59646,Logistics/Power,47,169632.18,fuel filter
Fuel Filter,10000-59650,Logistics/Power/Remove,25,52823.7,fuel filter
Fuel Filter,10000-59651,Logistics/Machine/Power/Remove,16,33938.64,fuel filter
