Description,Search name,Item Segment,Total available,Financial cost amount,Inventory Part
ADJUSTING SHIM 4,Z520010040,Machines,10,1553.7,ADJUSTING SHIM
ADJUSTING SHIM 5,Z520010100,Machines,10,1968.05,ADJUSTING SHIM
ADJUSTING WASHER,MG19026064,Machines,19,9807.8,washer
ADOPTOR ( DE200EO ),3806685,Power,4,3907.84,Other
AFTER COOLER,236-4256,Power/Remove,4,2633954.25,Other
AFTER COOLER CORE INSTALLATION KIT,460-6283,Remove,1,43086.12,Other
AGS (100 AMP),N-125 (100 AMP),Logistics/Machine,15,342000,Battery
AGS (70 AMP),GR-85 (70 AMP),Machines,8,128960,Battery
AGS Battery (105 Amp),GX135,Logistics/Power,22,401791.31,Battery
AGS Battery (120 Amps),GX165,Power,86,1571301.6,Battery
AGS Battery (140 Amp),GX175,Power,54,839461.53,Battery
AGS Battery (140 Amps) Tall Tabular,Battery SP-Tall 1800,Power,4,109800,Battery
AGS Battery (175 Amps),GX175,Logistics/Power,9,166019.23,Battery
AGS Battery (175 Amps),GX200F,power,4,83424,Battery
AGS Battery (210 Amps) Tall Tabular,Battery SP-Tall 2500,Power,4,151400,Battery
AGS Battery (220 Amp),GX260F,Power,104,3061564.62,Battery
AGS Battery (45 Amps),GR65,Power,29,234369.3,Battery
AGS Battery (85 Amp),6FT120,Logistics/Power,45,807043.86,Battery
AGS Battery GX200F,GX200F,Power,66,1701249.03,Battery
AGS N-120,AGS N-120,Power,2,18800,Battery
AIR BLEED PORT,Z6205905600,Machines,2,208.26,Other
AIR BLEED PORT2,Z6205905700,Machines,3,114.81,Other
AIR CLEANER ELEMENT,W010517226,Machines,3,24986.5,Other
AIR COMPRESSOR ASSY,SNBY612600130777,Machines,2,31258,compressor
AIR COMPRESSOR OUTLET PIPE,W47008183,Machines,2,5452.14,compressor
AIR COMPRESSOR PRESSURE PIPE,W47008180,Machines,2,3857.26,compressor
AIR CONDITIONING CONTROLL,SNDZ95189582362,Machines,2,14934,Other
AIR DRYER,SNDZ96189360004,Machines,2,12600,Other
AIR ELEMENT-121-89925,AIR ELEMENT-12189925,,2,94769.1,Other
AIR FILTER,123-2367,Logistics/Power/Remove,21,327705.94,air filter
AIR FILTER,6I2509,,11,426024.58,air filter
AIR FILTER,10000-65566,Logistics/Power/Remove,14,61885.7,air filter
AIR FILTER,W47002128,Logistics/Machine,20,126725.55,air filter
AIR FILTER,SN08102116,Machines,5,6840,air filter
AIR FILTER,233-5182,Power/Remove,5,59496.8,air filter
AIR FILTER,A222100000600,Machine/Remove,90,441196.44,air filter
AIR FILTER,901048,Machine,25,139193.67,air filter
AIR FILTER,1000061531,,1,2,air filter
AIR FILTER,160137,Machines,1,25013.45,air filter
AIR FILTER  CORE,W47002095,Machines,13,227180.61,air filter
AIR FILTER ( INNER ),A222100000599,Machine/Remove,115,503243.11,air filter
AIR FILTER (W47002128),537-0584,Machines,5,102359.81,air filter
AIR FILTER 60286347,AIR FILTER,Machine/Remove,5,44346.02,air filter
AIR FILTER 91K6101100,AIR FILTER,MHE,2,176782.26,air filter
AIR FILTER ELEMENT,1000086237,,2,4,air filter
AIR FILTER-113-1579,AIR FILTER-113-1579,Machines,4,107120.4,air filter
AIR PRESS SENSOR 3800-520,SI5801868742,Machines,4,7876,sensor
AIR SAVE FILTER,60286346,Machine/Remove,5,21683.27,air filter
ALIGING DVE,1214-2801,Machines,2,2,Other
ALIGING DVE,1214-2802,Machines,6,6,Other
ALternate number of Clutch booster STC 500,A229900003565,Machines,3,46755.54,Other
AMPARY,212-8184,Power,1,1,Other
ASSY OF RETURNED,60193267,Machine/Remove,3,32981.47,Other
ASSY OF RETURNED,60193266,Machine/Remove,4,58773.5,Other
AUTO FRONT LAMP SWITCH,SI5802179770,Machines,1,433,Other
AVR ( DE50E0),1000061859,Power,3,428654.52,Other
AVR (FG22),10000-72404,Power,1,79331.28,Other
AVR (REGULATOR VO),439-0556,Power,3,378852.68,Other
AVR(R450T),3525636,Power,3,1438100.56,Other
AZOLLA ZS 46 208LTOT,AZOLLAZS46208LTOT,Logistics,208,59958.7,Other
AZOLLA ZS 68 208L TOT PK,AZOLLAZS68208L,Logistics,579,242994.72,Other
Accelerator,W110001840,MHE,1,3725.05,Other
Actuator G3516C,3049398,Power,1,227829.5,Other
Actuator Gasket,6N-2645,Power,2,246.53,Gasket
Adapter,4P-2383,Power/Remove,5,217443.53,Other
Adapter,348-2213,Power,1,17605.98,Other
Adapter,5P5528,Power,1,1580.04,Other
Adjusting Screw,358-0768,Power/Remove,140,461343.94,Other
Adjustment Bolt,3J-9196,Power/Remove,64,7882.49,bolt
Adopter,9X0262,Machines,3,3127.46,Other
Adopter,261-6847,Power,2,21707.28,Other
Adopter-Str,365-0682,,1,3,Other
After Cooler CORE,After Cooler CORE,Power,1,1,Other
After Cooler Core Gasket,152-5705,Power/Remove,4,20306.66,Gasket
After Cooler Gasket,165-1679,Power/Remove,1,36238.57,Gasket
Air Bleed Valve,W041400681,Machines,2,417.87,Valve
Air Booster SG80A,W44075000,Machines,1,14704,Other
Air Cleaner ( W010517226),518-4406,Machines,26,603716.17,Other
Air Compressor Outlet Hose,Z3B02200700,MHE,2,3024.7,compressor
Air Element,251-5886,Machine/Remove,4,316178.17,Other
Air Filter,289-2348,Logistics/Power/Remove,14,382195.66,air filter
Air Filter,144-0832,Machine/Power/Remove,9,107510.74,air filter
Air Filter,W014200770,Machines,1,13500.71,air filter
Air Filter,901008,Power,1,2,air filter
Air Filter,CMT-A-1304,Machines,21,72251.31,air filter
Air Filter,231-0168,Machines,1,2454.01,air filter
Air Filter,1W-3636,Machine/Remove,1,22962.11,air filter
Air Filter,901-518,Power,6,35612.08,air filter
Air Filter,AF25278,Power,156,3675360,air filter
Air Filter,113-1578,Logistics/Power,12,731981.65,air filter
Air Filter,901-046,Logistics/Power,6,31102.69,air filter
Air Filter,6I-0273,Machines,6,114536.01,air filter
Air Filter,208-9066,Machines,4,223746.6,air filter
Air Filter,9S-9972,Machines,2,18115.42,air filter
Air Filter,901-054,Logistics/Power/Remove,17,157124.42,air filter
Air Filter,206-5235,Machines,66,406289.61,air filter
Air Filter,7W-5317,Machines,1,9509.15,air filter
Air Filter,110-6326,Power,7,74024.87,air filter
Air Filter,91E6100112,Logistics,3,10844.83,air filter
Air Filter,208-9065,Logistics/Power/Remove,42,6069696.67,air filter
Air Filter,1304678,Machines,5,128262.25,air filter
